🕘️更新时间,#genre#
2025-10-11 06:20:22,http://cj7.cdn.hunancatv.com:19901/tsfile/live/0001_1.m3u8

📺央卫视频道,#genre#
CCTV-1,http://cj7.cdn.hunancatv.com:19901/tsfile/live/0001_1.m3u8
CCTV-2,http://cj7.cdn.hunancatv.com:19901/tsfile/live/0002_1.m3u8
CCTV-3,http://cj7.cdn.hunancatv.com:19901/tsfile/live/0003_1.m3u8
CCTV-5+,http://cj7.cdn.hunancatv.com:19901/tsfile/live/0005_1.m3u8
CCTV-8,http://cj7.cdn.hunancatv.com:19901/tsfile/live/0008_1.m3u8
CCTV-13,http://cj7.cdn.hunancatv.com:19901/tsfile/live/0013_1.m3u8
广东卫视,http://cj7.cdn.hunancatv.com:19901/tsfile/live/0125_1.m3u8
浙江卫视,http://cj7.cdn.hunancatv.com:19901/tsfile/live/0124_1.m3u8
湖南卫视,http://cj7.cdn.hunancatv.com:19901/tsfile/live/0128_1.m3u8
东方卫视,http://cj7.cdn.hunancatv.com:19901/tsfile/live/0107_1.m3u8
江西卫视,http://cj7.cdn.hunancatv.com:19901/tsfile/live/0138_1.m3u8
深圳卫视,http://cj7.cdn.hunancatv.com:19901/tsfile/live/0126_1.m3u8
